tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1935589866747658299',"チュン先生ってもしかして
4月に湯島の近くの学校で出会ったあの先生のこと？
名前全然違うし

たしかになんかチュンって言ってたけど🏔

あと出会ったっていうか
どっちかって言うと
見つかっちゃった！！
っていう状況だったけど🏔
#いきづらい部",ja,Tweet,93,2110,914,9,355888,2025-06-19 15:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1933083098675118286',"ダンスをやるようになって
最近いろんな曲を聴くようになった🌊
アイドルの曲とかあんまり聴いたことがなかったけど
すごくいい歌がいっぱいあるんだなって思った
スクールアイドルを始めるきっかけになったあの歌も🚵

もしおすすめの曲があったら教えてください！
#いきづらい部",ja,Tweet,10,1126,164,63,101627,2025-06-12 17:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1933082343675416951',"雨が降るとロードができなくて困るんだけど🚵
最近はその分いきづらい部の練習で
運動量を少しは補えてる。。。
といいんだけど
#いきづらい部",ja,Tweet,4,922,105,3,41528,2025-06-12 17:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1933081588973347224',"雨の日が増えたね
風邪が流行ってるけどみんな無事かな？

喉が痛い子は早めに寝ること！

試合の前はいつもマスクして寝るようにしてる
けっこう効果ある感じがするからおすすめだよ🌊
#いきづらい部",ja,Tweet,6,887,122,4,37758,2025-06-12 17:39:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1929796442350088493',"よぅし
私も負けないように🚵

今日の筋トレは上半身メインで

・ダンベルフライ
・ショルダーレイズ
・サイドレイズ
・スパイダーカール
・ダンベルプルオーバー

最後にマウンテンクライマーも入れとこっか🏔

３０秒１セットで３セット💪
みんなも良かったら一緒にやってみてね

#いきづらい部",ja,Tweet,43,1151,188,11,57783,2025-06-03 16:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1929795687228887227',"もちろん、みんなで一緒にやれるときは一緒にやりたいけど
物理的に距離があるからね🌊

ダンスは遠距離厳しいし

にしても大阪サテライトチーム
なんかメンバー見た目強いな🏔

#いきづらい部",ja,Tweet,9,907,123,1,36254,2025-06-03 16:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1929794931817632155',"これだったら２チーム作るのもアリなんじゃないかな？
んー
なんか吹奏楽部みたいな感じ？

全体もあるけどアンサンブルもある

みたいな🚵

#いきづらい部",ja,Tweet,9,877,131,3,37905,2025-06-03 15:59:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1929794176998093187',"おっと🏔

大阪サテライトからまたアクセス来たってホント！？🌊
すごいね！！！

#いきづらい部",ja,Tweet,8,1032,124,2,42539,2025-06-03 15:56:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1927256958484242751',"なんかやっぱり

ポルカって本当に持ってるよね。。。

運がいいのは大事🏔

勝負の最後はいつもやっぱり運だから

#いきづらい部",ja,Tweet,7,862,108,2,35357,2025-05-27 15:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1927256203534766570',"これまでバレエやダンスをしっかり習ってきたんだったら

「こうやってこうやってこう！」なポルカのダンスも

ちゃんと理解して教えてくれるんじゃないかなって
私は期待してる🚵

とりあえず右と左を言い間違えるとぶつかるしね！

#いきづらい部",ja,Tweet,7,1061,130,1,54565,2025-05-27 15:51:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1927255575030583557',"って結局全部言っちゃってるマイマイ🌊

まぁ楽しいからいっか🏔

私もとりあえずはオンラインで一緒にやれたらいいと思う！
せっかくみんなネット高校在籍中なんだし

#いきづらい部",ja,Tweet,13,1064,123,2,55086,2025-05-27 15:48:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1925484781661560874',"それにしてもポルカってやっぱりなにかあるというか持ってるっていうか🏔
憑いてるのかもって花火が言ったら「ホントそれ！！」って爆笑してた
ポジティブだよね
メンタルコントロールの参考にしよう🚵
#いきづらい部",ja,Tweet,10,1050,128,1,52800,2025-05-22 18:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1925484529956909415',"そういえばポルカがおつかいの途中で知り合ったっていう美人さん
メッセージが来たってポルカが大騒ぎしてたんだけど

まさかのL高生とは本当にびっくりだよね🏔
L高生ってもしかして思ってるより人数いるのかな？
#いきづらい部",ja,Tweet,15,1484,236,3,84380,2025-05-22 18:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1925484279959634392',"花火に着物着せてもらったりして私も楽しかったし
ポルカはなんだかすごく嬉しそうにしてやっぱり踊ってたし
麻衣は少し人酔いしたって言って青い顔しててかわいそうだったけど🌊
#いきづらい部",ja,Tweet,13,993,144,1,47465,2025-05-22 18:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1925484026640388355',"東京に来て初めて
スクランブル交差点を見た時も
お祭りだって思ったのに…

本物のお祭りはやっぱりもっともっとすごかった🏔✨
#いきづらい部",ja,Tweet,6,1163,131,2,48884,2025-05-22 18:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1925483774839857379',"今日はいきづらい部メンバーでミーティング🚵
でもなんか結局三社祭がすごかった話で
けっこう終わっちゃった感じかな🌊

でも私も初めて見たんだけど
もう本当にすごい人出と勢いで🏔
なんかもう本当にすごかった！！
#いきづらい部",ja,Tweet,12,1273,174,3,52674,2025-05-22 18:28:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1922242416595370115',"スポーツの世界でもそういう人いるけど🚵
やっぱり天才な気がする

な🏔

#いきづらい部",ja,Tweet,14,1584,172,6,103975,2025-05-13 19:48:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1922242164978778404',"なんとなく踊ってるだけでステップの名前とか全然興味ないらしい
どうやるのか聞いても

んーなんかこうやってこうやってこう！

みたいな返事しか返ってこなかった

#いきづらい部",ja,Tweet,9,1311,180,3,84787,2025-05-13 19:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1922241913307996569',"なんかスマホで動画を１回見ただけですぐに踊れてるんだよね
いつも踊ってるしダンスに詳しい子なんだろうなと思ってたんだけど

聞いてみたらステップの名前とか全然知らなかった。。。

#いきづらい部",ja,Tweet,14,1380,224,1,90541,2025-05-13 19:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1922241661670723755',"ポルカからダンスを教わるようになって思ったこと
ポルカってじつはダンスの天才かも🌊

#いきづらい部",ja,Tweet,27,2062,334,7,114264,2025-05-13 19:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1920037890454593620',"あんまり人と一緒にいるタイプじゃないから
ちょっと不思議な気分
ポルカはとりあえず歌の動画をやりたいみたい

そこはダンスじゃないんだ🌊

私も歌は好きだな
自転車で走る時は少し歌っちゃうな🚵
#いきづらい部",ja,Tweet,36,1747,248,17,164151,2025-05-07 17:48:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1920037638817353960',"ポルカに誘われてスクールアイドルを始めることになって
何が変わるのかなと思ったら
うーん。。。
なにかあんまり変わらないような？
今日も朝のトレーニングをしてから登校して
あ🏔
ポルカや麻衣と色々相談したりするようになったのは変わったかな🚵
#いきづらい部",ja,Tweet,46,1900,253,3,192434,2025-05-07 17:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1918195500618317831',"これ見つけた時
ポルカは自分が数学が壊滅的にデキなくて
そのせいで高校受験も全落ちだったから
いきづらい部の名前は自分にぴったりだって大笑いしてアイス落としてた

１７アイスはいつも落とすらしい🌊
#いきづらい部",ja,Tweet,57,994,261,4,157410,2025-05-02 15:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1918195248666132485',"いきづらい部発足２日目🚵
いきづらい部の名前の由来は
ここL高の校内サーバーに放置されてたメンバー０人の部活のチャンネル
#いきづらい部",ja,Tweet,165,2157,670,6,281911,2025-05-02 15:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1915375671007658021',"今日のトレーニング💪
・デッドリフト
・ランジ
・ワイドスクワット
・ブルガリアンスクワット
・カーフレイズ
動揺すると下半身強化に行きたくなるのって
良くない癖かもしれない
サイドレイズもしておこうかな…🚵",ja,Tweet,15,483,96,3,90827,2025-04-24 21:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914655424827043996',"そんな話をしたら
ポルカは大きく跳ねて踊り始めたし🏫
麻衣はおでこに手を当てて大きくため息をついた
２人ともリアクション違い過ぎるよね
笑ってしまう🌊",ja,Tweet,7,368,47,0,53144,2025-04-22 21:20:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914655173181374714',"みんなすごいよね🌊
私にはそんなこと…
そもそも思いつけもしないから…",ja,Tweet,5,361,39,0,44341,2025-04-22 21:19:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914654921414136036',"それを聞いてもうひとつ思い出したのは
私の実家がある沼津で前に聞いた話🌊

同じように生徒が自分たちだけの力で
学校の存続をかけて頑張ったっていう女子高生たちのこと…🌈🏔",ja,Tweet,299,2844,1558,22,342712,2025-04-22 21:18:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914654669445493007',"ポルカの話を聞いて最近聞いた話を思い出した
今住んでる湯島の伯母さんの家の近くに🚵
たしか昔廃校になりそうだったのを
生徒の活動で立て直した学校があるって",ja,Tweet,112,1234,623,6,133116,2025-04-22 21:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1912471030506942946',"クライミングウォールを登ってる最中に
集中してると突然やってくるあのふわりと体が軽くなる特別な瞬間みたいに

こういうの
なんて言えばいいんだろう。。。

やっぱり
よくわからないや🏔",ja,Tweet,4,300,21,1,37339,2025-04-16 20:40:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1912470778768994378',"川べりの遊歩道に１人でいて
１人なのに踊ってて

その姿が
なんかすごく綺麗で

ふと止まって見えたんだ🌊",ja,Tweet,3,326,32,0,35245,2025-04-16 20:39:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1912470527144608081',"今日放課後の隅田川で同じ学校の子と出会った🚵

いつも賑やかに誰かといて笑顔で
私とは縁のないタイプだと思っていたのに",ja,Tweet,5,319,33,0,33318,2025-04-16 20:38:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911655909249425571',"きっとこの先とくに縁もないだろうけど

でも、まぁ

次近くに座ったら、助けてあげようと思う🏔

ものすごくパソコンが苦手そうだったから
思い出すと少し笑ってしまう🌊",ja,Tweet,4,305,27,0,31947,2025-04-14 14:41:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911655657494770160',"学校始まって１週間もたってないのに
あんな風に遠慮なくやりあえるくらい仲良くなるとか
すごいよね🎖️

私とは正反対だなって思う",ja,Tweet,3,302,30,0,30627,2025-04-14 14:40:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911655405861912951',"今日学校に行ったら🚵
なにか大騒ぎしている子がいて

私は席が離れてたんだけど、けっこう響きわたってた
元気な子がいるなと思って見ていたら😶‍🌫️
隣の子にだいぶ絡んでやりあってて",ja,Tweet,7,312,35,1,31633,2025-04-14 14:39:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
