tweet_id,text,author_id ,type,created_at,hashtags,urls,media_type,media_urls
'1928426918455443663',"その奥にある何かは同じもののような気がするんです🎁✨
私に笑顔と力をくれるもの！
皆さんにも私から笑顔と元気が届きますように！！🥰💖
#いきづらい部",7,Tweet,2025/5/30 21:23,#いきづらい部,,,
'1928426163191566504',"私は踊ることや歌うことが好きです💖
ずっと夢見ていた、あのキラキラと輝く眩しい銀橋の向こうに立つことと
あの日浅草で出会ったポルカちゃんと一緒に踊ること✨
大きさも方向も全然違うけど、でもどこか…
#いきづらい部",7,Tweet,2025/5/30 21:20,#いきづらい部,,,
'1928425408346636653',"失くしたと思っていた夢が形を変えて私の手元に戻ってきたような気がする今日💝
私、春宮ゆくりはこれからいきづらい部で活動していきます！！
皆さんどうぞよろしくお願いいたします🎩🪄
#いきづらい部",7,Tweet,2025/5/30 21:17,#いきづらい部,,,
'1928424653069885866',"一歩一歩の歩幅は小さくても、時には後戻りしてしまうことがあっても🌧️
夢に向かって諦めずにただ無心に歩み続ける事だけが…
自分を憧れの向こうに連れて行ってくれる🩰✨
#いきづらい部",7,Tweet,2025/5/30 21:14,#いきづらい部,,,
'1925875103776076247',"教えてくれた連絡先に素敵な動画があってもう一度びっくり✨✨
やっぱりこの偶然は…
私の運命っていう筋書きかもしれないと思うのは
私の願望なのかな",7,Tweet,2025/5/23 20:23,,,,
'1925874852264550548',"思ったよりも元気で笑顔でちょっぴりたくましい感じで…
でもどこか危なっかしくて目が離せないような
不思議な魅力が詰まった気になる女の子🩰✨",7,Tweet,2025/5/23 20:22,,,,
'1925874600241430921',"でもそんな思いで声をかけた彼女はなんだかものすごく天真爛漫な笑顔で
「あれ？　迷子かな？　ポルカ地元だから道ならおまかせだよ～！」

全然儚くなかった…🥰",7,Tweet,2025/5/23 20:21,,,,
'1925874474953457834',"思わず手が反応した

今この瞬間に捕まえてしまわないと…
行っちゃう

いなくなっちゃう小さなことり…",7,Tweet,2025/5/23 20:20,,,,
'1925874223228043481',"突然、そんな景色を背負って私の視界に飛び込んできたのは
川べりからまるで空の向こうまで飛んでいきそうに跳ねていた女の子🩰✨
まるで重力がないみたいに跳んで",7,Tweet,2025/5/23 20:19,,,,
'1925873845950390441',"あの日みた光景がずっと瞼裏から消えないんです💘

飛び交う威勢のいい掛け声に応える歓声🎯
盛り上がる人の群れ

街をあげての盛大なお祭りをまるで圧倒的な舞台の上のワンシーンのように眺めていた
あの瞬間",7,Tweet,2025/5/23 20:18,,,,
